,Name,Gender,Economic Status,Height,Weight,Age,Income
0,Buolusu,Female,Rich,175.0,87.0,40.0,19893.0
1,Eüx,Female,Rich,171.0,73.0,31.0,19526.0
2,Uüx,Female,Poor,173.0,84.0,35.0,18986.0
3,Awodüol,Female,Rich,169.0,87.0,41.0,20731.0
4,Üpayiulus,Male,Middle Class,166.0,88.0,34.0,18795.0
5,Üuneduv,Female,Poor,162.0,80.0,35.0,18995.0
6,Ewiodüd,Male,Middle Class,185.0,86.0,32.0,19468.0
7,Ücaüymn,Male,Middle Class,175.0,68.0,40.0,18349.0
8,Üñüzigen,Female,Rich,174.0,78.0,36.0,18126.0
9,Ejmi,Male,Middle Class,164.0,74.0,32.0,20959.0
10,Ereceh,Female,Rich,161.0,90.0,37.0,18261.0
11,Ezüz,Female,Rich,182.0,83.0,40.0,20001.0
12,Üjoüv,Male,Poor,186.0,80.0,40.0,20758.0
13,Ivesef,Male,Middle Class,180.0,84.0,37.0,18163.0
14,Üfol,Female,Poor,181.0,69.0,37.0,20343.0
15,Elop,Female,Middle Class,162.0,81.0,31.0,18377.0
16,Cübixoj,Male,Rich,185.0,69.0,32.0,20809.0
17,Uppa,Male,Middle Class,168.0,89.0,41.0,19251.0
18,Otü,Male,Poor,185.0,77.0,38.0,20132.0
19,Ixal,Male,Rich,162.0,84.0,34.0,18914.0
20,Ovj,Male,Rich,185.0,68.0,41.0,18309.0
21,Alüg,Male,Rich,165.0,67.0,41.0,20477.0
22,Amixoj,Female,Rich,187.0,76.0,32.0,19404.0
23,Iñxg,Male,Rich,185.0,74.0,42.0,20001.0
24,Üsuyae,Female,Rich,167.0,84.0,41.0,19894.0
25,Eqionis,Male,Poor,168.0,84.0,38.0,19357.0
26,Avewüzal,Female,Rich,178.0,90.0,40.0,19971.0
27,Uñüquloz,Female,Middle Class,171.0,83.0,37.0,20382.0
28,Pusej,Female,Poor,162.0,70.0,40.0,21474.0
29,Ovewao,Female,Poor,162.0,71.0,41.0,21192.0
30,Ogat,Male,Rich,182.0,68.0,31.0,21170.0
31,Ajeov,Male,Poor,167.0,70.0,34.0,20689.0
32,Ümm,Male,Rich,174.0,88.0,32.0,19947.0
33,Uroj,Male,Rich,168.0,81.0,38.0,18219.0
34,Üñoyiadi,Male,Poor,179.0,88.0,39.0,20670.0
35,Arevu,Male,Middle Class,189.0,71.0,37.0,20681.0
36,Üyat,Female,Poor,161.0,66.0,42.0,19963.0
37,Erilugij,Female,Rich,168.0,72.0,32.0,18908.0
38,Oyanem,Male,Poor,185.0,71.0,40.0,18645.0
39,Aan,Female,Poor,182.0,86.0,33.0,18908.0
40,Ittuc,Female,Middle Class,187.0,88.0,32.0,19809.0
41,Ovid,Male,Poor,179.0,73.0,31.0,19594.0
42,Tqap,Female,Poor,170.0,70.0,37.0,20969.0
43,Aew,Female,Middle Class,162.0,66.0,38.0,21231.0
44,Eñrel,Female,Middle Class,162.0,74.0,38.0,18030.0
45,Oxoqajodb,Male,Rich,169.0,81.0,34.0,20511.0
46,Uucumus,Male,Rich,170.0,84.0,33.0,19194.0
47,Lañl,Female,Middle Class,182.0,75.0,36.0,19281.0
